depth,f1_val,fpr,bram_kb,n_nodes,n_leaves
6,0.6693083899430761,0.10743236644203535,0.61279296875,83,42
8,0.7425031585828907,0.0810626037698994,1.30126953125,177,89
10,0.7653592302419712,0.060748119933587266,2.83935546875,387,194
12,0.7790954990599904,0.051469870104502394,5.19775390625,709,355
15,0.7848307108262242,0.048051567535892174,11.23291015625,1533,767
