leaf_id,purity,n_samples,dominant_class
340,0.9862236810983382,6,NR_MALWARE
343,0.9884933142866338,7,NR_MALWARE
344,0.9662564946810462,9,NR_MALWARE
347,0.601916757769835,6,NR_MALWARE
348,0.7648777992912724,7,NR_MALWARE
349,0.9828387062368343,5,NR_MALWARE
350,0.5752938428117215,8,TRAFFIC_SPIKE
356,0.3393190175067156,17,APT
358,0.48756025583427726,13,APT
359,0.3998157524115309,16,APT
360,0.5529453366935698,34,APT
362,0.33701772943439484,19,TRAFFIC_SPIKE
364,0.5068875968339265,14,APT
366,0.45939841425988204,15,TRAFFIC_SPIKE
369,0.41567656431038547,26,APT
370,0.45227793539527744,9,TRAFFIC_SPIKE
371,0.4188422427627178,1174,APT
372,0.44040175039238233,5564,APT
374,0.48702140181234926,1787,APT
377,0.42434881914817657,674,APT
378,0.42516107219448696,1175,APT
381,0.44184569960956466,1306,APT
384,0.4489526368892203,1319,APT
385,0.451248470472406,2226,APT
386,0.45953910309599577,291,APT
387,0.45505726555951975,651,APT
397,0.6491959772443066,5,APT
398,0.8684529222997649,5,RECON
401,1.0,6,NORMAL
402,0.7279805026030763,12,TRAFFIC_SPIKE
404,1.0,10,NORMAL
405,0.5977488410263574,12,NORMAL
408,1.0,26,TRAFFIC_SPIKE
409,0.8443095496473142,6,TRAFFIC_SPIKE
410,0.7305672114792101,7,TRAFFIC_SPIKE
412,1.0,5,APT
413,0.6974278266259137,7,APT
419,0.9467295383741556,75,NR_MALWARE
420,0.98118205324748,144,NR_MALWARE
422,0.5361611105459284,12,NR_MALWARE
423,0.9188364797243326,204,NR_MALWARE
426,0.7888654750120668,16,NR_MALWARE
427,0.5602405301651686,22,APT
429,0.8204631623865818,813,NR_MALWARE
430,0.6568479373636301,169,NR_MALWARE
434,0.9750300767022039,82,NR_MALWARE
435,0.9484093920739732,41,NR_MALWARE
437,0.7837199503914776,7,NR_MALWARE
438,0.9608527381012378,38,NR_MALWARE
441,0.9051693229537585,5,NR_MALWARE
442,0.5523596252576444,6,NR_MALWARE
444,0.8773138845153993,1334,NR_MALWARE
445,0.9222474178326046,366,NR_MALWARE
446,1.0,14,APT
450,1.0,176,NORMAL
452,1.0,13,APT
453,0.6892331724894714,8,TRAFFIC_SPIKE
458,0.9062879940592762,6,NR_MALWARE
459,0.6061639611869792,11,NR_MALWARE
460,0.6292175610353976,7,RECON
463,0.9662564946810462,6,NR_MALWARE
464,0.9963374747297992,20,NR_MALWARE
466,0.9051693229537585,5,NR_MALWARE
467,0.9555090860386944,5,NR_MALWARE
469,0.7816315711347201,5,NR_MALWARE
472,0.9470789686398648,89,NR_MALWARE
473,1.0,19,NR_MALWARE
475,0.9306585440352344,37,NR_MALWARE
476,1.0,5,NORMAL
480,1.0,17,NORMAL
482,0.569556322348283,15,APT
484,0.39689579940840564,278,APT
485,0.5274023382365051,12,APT
489,0.40456727579034496,15,APT
490,0.4774945961695779,10,TRAFFIC_SPIKE
491,1.0,5,NR_MALWARE
493,0.5605145727975668,13,APT
494,0.44429167270925873,12,APT
496,1.0,47,NORMAL
497,1.0,5,NR_MALWARE
500,0.6624135593220338,8,APT
501,1.0,1276,NORMAL
505,1.0,22,APT
506,0.7279327921097002,7,RECON
508,0.7866891712432637,5,APT
512,0.91737972572737,5,APT
513,1.0,127,APT
514,0.6844630166737687,6,TRAFFIC_SPIKE
516,1.0,5,APT
517,1.0,272,APT
521,0.5413531085003792,8,APT
523,1.0,10,APT
524,1.0,5,APT
527,0.3692436481401305,13,RECON
529,0.48333429587570104,16,APT
530,0.42272983847058243,15,APT
532,0.36620150292241543,18,APT
534,0.4907734987312152,9,APT
535,0.38122257546464855,39,APT
537,1.0,7,TRAFFIC_SPIKE
538,0.5202917328429324,8,TRAFFIC_SPIKE
541,0.9662564946810462,6,NR_MALWARE
542,0.8263112765586575,5,NR_MALWARE
544,0.49843834574866036,5,APT
549,0.9995903386317574,467,RECON
550,1.0,59,RECON
554,0.9977102113124879,35,RECON
555,0.9989394001717061,110,RECON
556,0.9962274635679146,11,RECON
558,1.0,77,RECON
559,0.9977774083543204,18,RECON
560,1.0,527,RECON
